id,year,assets,capex,ltd,ebitda,ppe,sales,ads,rd,bookval,mv,indclass,tobinsQ
1951,1990,1.713,0.019,0,-0.756,0.859,2.507,0.013,0.481,0.18,0.91,12,5.055555556
1951,2006,28.31,0.213,0,-5.013,1.313,2.898,0.758,1.252,25.03,112.78,12,4.505793048
1951,2007,24.342,0.067,0,-6.286,1.278,2.834,0.331,1.875,22.52,117.08,12,5.198934281
1951,2008,21.487,1.291,0,-4.132,2.565,5.143,0.206,1.738,14.48,78.55,12,5.424723757
1951,2009,12.857,0.036,0,-6.391,2.597,3.536,0.086,2.043,10.29,43.59,12,4.236151603
1951,2010,12.702,0.123,0,-7.33,2.705,1.582,0.061,2.429,23.06,122.31,12,5.303989592
1951,2011,21.94,0.215,0,-5.201,2.919,3.037,0.275,1.484,19.67,66.74,12,3.39298424
1951,2012,15.366,0.098,0,-7.862,2.98,2.071,0.18,2.365,12.57,49.39,12,3.9291965
1951,2013,14.34,0.035,0,-8.141,3.016,3.674,0.205,2.282,10.85,44.86,12,4.134562212
1979,1990,6.012,0.599,0.598,1.549,6.668,10.812,0.054,0.213,4.07,6.4,13,1.572481572
1979,1991,7.649,1.464,0.973,1.765,8.124,12.652,0.085,0.283,4.81,14.45,13,3.004158004
1979,1992,7.618,0.655,0.634,1.246,8.777,12.694,0.111,0.454,4.96,14.34,13,2.891129032
1979,1993,9.211,1.272,1.023,1.65,10.039,14.697,0.106,0.495,5.56,11.32,13,2.035971223
1979,1994,12.335,2.819,2.315,2.227,12.877,18.89,0.088,0.604,6.48,18.72,13,2.888888889
1979,1995,14.332,1.115,2.661,3.594,13.944,24.982,0.119,0.745,8.13,28.28,13,3.478474785
1979,1996,15.14,0.975,1.587,4.533,14.729,26.371,0.115,0.832,9.92,26.8,13,2.701612903
2008,1990,392.166,34.604,1.911,143.562,211.163,586.223,12.349,11.217,259.43,1164.74,23,4.489611841
2008,1991,442.157,39.224,1.431,142.106,237.51,582.913,11.361,14.715,318.95,1662.55,23,5.212572504
2008,1992,469.239,60.591,2.779,149.48,291.917,591.374,12.748,12.612,346.24,1586.35,23,4.581648567
2008,1993,550.731,40.472,10.839,149.603,320.142,590.199,9.483,12.321,437.15,1503.6,23,3.439551641
2008,1999,722.421,41.903,100,153.868,502.787,1012.665,5.305,12.325,457.22,519.28,23,1.135733345
2008,2000,714.549,26.267,100,141.205,502.807,996.059,7.322,9.442,476.65,834.05,23,1.749816427
2008,2001,718.572,25.27,34.286,106.095,501.609,964.868,7.137,10.225,491.58,717.52,23,1.459620001
2008,2002,617.827,17.938,22.857,105.458,488.887,900.503,5.723,8.109,424.59,740.8,23,1.744741986
2008,2003,660.529,17.563,17.143,101.732,465.994,816.397,4.804,7.238,477.08,793.84,23,1.663955731
2008,2004,730.727,45.15,11.429,96.449,534.008,854.193,3.668,7.063,539.79,968.9,23,1.794957298
2008,2005,755.037,65.647,5.715,90.027,584.104,914.64,6.596,7.353,563.93,829.29,23,1.470554856
2008,2006,752.948,77.444,0,87.176,633.393,973.57,6.052,6.737,581.34,983.44,23,1.691677848
2044,2003,1692,72.1,151.5,330.5,380,1433.1,3.1,87.4,1045.7,4205.09,12,4.021315865
2044,2004,2009.1,74,151.4,424.6,442,1656.1,4,111.6,1366.6,6696.91,12,4.900417094
2044,2005,2265.6,97.2,0.8,511,510.8,1779.1,4.6,114.6,1543,6856.47,12,4.443596889
2044,2006,2277.2,70.4,150.6,550.2,570.3,1985.5,3.3,145.7,1719.9,8558.77,12,4.976318391
2044,2007,2475.5,50.7,149.8,638.3,577.1,2202,3.4,135.8,1868.2,9498.11,12,5.084096992
2044,2008,2665.7,50.6,149.8,735.3,577,2452.1,3.1,199.1,2000.7,8374.85,12,4.185959914
2044,2009,2906.9,48.1,149.8,827,607,2534.9,2.5,179.6,2213.6,7471.93,12,3.375465305
2044,2010,3171.5,51.2,896.9,875.2,598.8,2720.2,3.3,185.4,1646.5,7798.06,12,4.736143334
2044,2011,3931.1,71.4,908.7,944.1,627.5,2896.4,3,185.4,1798.7,7228.43,12,4.018696837
2044,2012,4151.3,72.6,1409.6,955.9,631.9,2958.1,2.1,203.2,1951.7,7985.06,12,4.091335759
2044,2013,5041.1,69.1,1405.7,824.5,667.5,3049.5,3.2,295.7,2250.1,10371.78,12,4.609475134
2044,2014,5092.6,126.6,1401.9,987.8,747.9,3323.6,4.4,302,1950.8,12478.67,12,6.396693664
2061,1990,55.885,2.018,14.525,-0.969,29.651,108.929,6.594,3.9,25.7,11.95,10,0.464980545
2061,1991,49.732,2.668,12.99,2.891,31.789,102.791,3.64,3,23.56,13.63,10,0.57852292
2061,1992,51.132,1.195,11.625,8.337,32.932,101.823,4.044,2.9,27.23,27.89,10,1.024237973
2061,1993,55.635,1.034,9.745,8.595,33.479,101.172,4.024,2.8,31.48,58.18,10,1.84815756
2061,1994,76.961,2.234,16.445,9.323,35.663,116.72,4.517,3.3,41.05,61.67,10,1.502314251
2061,1995,84.34,3.363,15.39,14.213,36.964,136.561,6.056,3.1,47.67,144.5,10,3.031256555
2061,1996,89.067,2.404,15.265,19.103,39.088,148.626,5.314,3,56.74,103.13,10,1.817589002
2061,1997,104.674,2.944,12.992,20.847,40.84,148.775,6.471,3.5,67.61,111.18,10,1.644431297
2061,1998,111.345,1.136,10.714,19.235,41.697,150.773,7.615,3.9,78.08,107.2,10,1.37295082
2061,1999,92.047,3.381,8.571,-8.555,43.333,140.092,10.429,3.7,60.17,37.4,10,0.621572212
2061,2000,89.549,0.653,7.637,-0.457,40.187,149.435,11.805,2.7,59.45,22.26,10,0.374432296
2061,2001,88.612,1.194,5.162,3.834,40.066,144.121,13.894,3.1,60.39,59.16,10,0.979632389
2061,2002,87.638,2.405,5.76,-11.803,39.176,122.57,3.774,3.2,47.19,40.3,10,0.85399449
2061,2003,61.28,1.662,2.141,-3.58,35.274,123.137,2.677,3,25.39,43.17,10,1.700275699
2061,2004,39.092,0.122,0.479,-0.45,13.705,104.404,1.928,2.5,4.98,34.62,10,6.951807229
2061,2005,41.831,0.478,0.533,10.846,11.017,105.488,2.182,2.2,11.11,61.11,10,5.500450045
2061,2007,63.528,0.633,0.272,11.964,9.294,105.332,2.887,2.4,44.06,73.36,10,1.66500227
2061,2008,67.943,1.571,0.187,13.494,10.059,109.499,3.958,2.6,53.56,55.04,10,1.027632562
2061,2009,75.083,1.365,0.097,11.271,11.254,113.817,2.559,2.4,57.34,93.05,10,1.622776421
2061,2010,83.369,1.181,0,15.603,11.669,123.787,3.285,2.3,62.14,122.75,10,1.975378178
2061,2011,115.979,0.676,24.286,14.622,12.805,129.568,4.924,1.9,75.29,134.52,10,1.78669146
2061,2012,128.266,1.834,20.357,26.418,12.238,155.938,3.308,1.7,83.63,159.99,10,1.913069473
2061,2013,130.253,1.055,16.071,23.831,13.316,147.013,2.29,1.2,96.49,220.02,10,2.280236294
2085,1990,1677.374,108.374,214.547,282.846,675.644,1368.58,145.317,48.05,865.53,2100.82,13,2.427206452
